"Plot Title: 10084446_RUE20_submerged"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 10084446, SEN S/N: 10084446)","End Of File (LGR S/N: 10084446)"
1,13/11/20 08:34:05,16.141,
2,13/11/20 08:36:05,15.951,
3,13/11/20 08:38:05,15.855,
4,13/11/20 08:40:05,15.760,
5,13/11/20 08:42:05,15.664,
6,13/11/20 08:44:05,15.569,
7,13/11/20 08:46:05,15.569,
8,13/11/20 08:48:05,15.569,
9,13/11/20 08:50:05,15.569,
10,13/11/20 08:52:05,15.569,
11,13/11/20 08:54:05,15.569,
12,13/11/20 08:56:05,15.569,
13,13/11/20 08:58:05,15.569,
14,13/11/20 09:00:05,15.760,
15,13/11/20 09:02:05,15.760,
16,13/11/20 09:04:05,15.760,
17,13/11/20 09:06:05,15.760,
18,13/11/20 09:08:05,15.664,
19,13/11/20 09:10:05,15.664,
20,13/11/20 09:12:05,15.664,
21,13/11/20 09:14:05,15.664,
22,13/11/20 09:16:05,15.664,
23,13/11/20 09:18:05,15.664,
24,13/11/20 09:20:05,15.664,
25,13/11/20 09:22:05,15.664,
26,13/11/20 09:24:05,15.664,
27,13/11/20 09:26:05,15.664,
28,13/11/20 09:28:05,15.664,
29,13/11/20 09:30:05,15.664,
30,13/11/20 09:32:05,15.664,
31,13/11/20 09:34:05,15.569,
32,13/11/20 09:36:05,15.569,
33,13/11/20 09:38:05,15.569,
34,13/11/20 09:40:05,15.569,
35,13/11/20 09:42:05,15.569,
36,13/11/20 09:44:05,15.569,
37,13/11/20 09:46:05,15.569,
38,13/11/20 09:48:05,15.569,
39,13/11/20 09:50:05,15.569,
40,13/11/20 09:52:05,15.569,
41,13/11/20 09:54:05,15.569,
42,13/11/20 09:56:05,15.569,
43,13/11/20 09:58:05,15.569,
44,13/11/20 10:00:05,15.569,
45,13/11/20 10:02:05,15.569,
46,13/11/20 10:04:05,15.569,
47,13/11/20 10:06:05,15.569,
48,13/11/20 10:08:05,15.569,
49,13/11/20 10:10:05,15.569,
50,13/11/20 10:12:05,15.569,
51,13/11/20 10:14:05,15.569,
52,13/11/20 10:16:05,15.569,
53,13/11/20 10:18:05,15.569,
54,13/11/20 10:20:05,15.569,
55,13/11/20 10:22:05,15.569,
56,13/11/20 10:24:05,15.569,
57,13/11/20 10:26:05,15.569,
58,13/11/20 10:28:05,15.569,
59,13/11/20 10:30:05,15.569,
60,13/11/20 10:32:05,15.569,
61,13/11/20 10:34:05,15.569,
62,13/11/20 10:36:05,15.569,
63,13/11/20 10:38:05,15.569,
64,13/11/20 10:40:05,15.569,
65,13/11/20 10:42:05,15.569,
66,13/11/20 10:44:05,15.473,
67,13/11/20 10:46:05,15.473,
68,13/11/20 10:48:05,15.473,
69,13/11/20 10:50:05,15.569,
70,13/11/20 10:52:05,15.569,
71,13/11/20 10:54:05,15.569,
72,13/11/20 10:56:05,15.569,
73,13/11/20 10:58:05,15.569,
74,13/11/20 11:00:05,15.569,
75,13/11/20 11:02:05,15.569,
76,13/11/20 11:04:05,15.569,
77,13/11/20 11:06:05,15.569,
78,13/11/20 11:08:05,15.569,
79,13/11/20 11:10:05,15.569,
80,13/11/20 11:12:05,15.569,
81,13/11/20 11:14:05,15.569,
82,13/11/20 11:16:05,15.569,
83,13/11/20 11:18:05,15.569,
84,13/11/20 11:20:05,15.569,
85,13/11/20 11:22:05,15.569,
86,13/11/20 11:24:05,15.569,
87,13/11/20 11:26:05,15.569,
88,13/11/20 11:28:05,15.760,
89,13/11/20 11:30:05,16.046,
