"Plot Title: 10084441_RUE18_CSO"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 10084441, SEN S/N: 10084441)","End Of File (LGR S/N: 10084441)"
1,13/11/20 09:29:52,14.134,
2,13/11/20 09:31:52,13.942,
3,13/11/20 09:33:52,14.134,
4,13/11/20 09:35:52,14.613,
5,13/11/20 09:37:52,14.038,
6,13/11/20 09:39:52,13.846,
7,13/11/20 09:41:52,13.269,
8,13/11/20 09:43:52,13.750,
9,13/11/20 09:45:52,13.942,
10,13/11/20 09:47:52,14.230,
11,13/11/20 09:49:52,14.325,
12,13/11/20 09:51:52,14.325,
13,13/11/20 09:53:52,14.421,
14,13/11/20 09:55:52,14.421,
15,13/11/20 09:57:52,14.325,
16,13/11/20 09:59:52,14.325,
17,13/11/20 10:01:52,14.325,
18,13/11/20 10:03:52,14.230,
19,13/11/20 10:05:52,14.325,
20,13/11/20 10:07:52,14.230,
21,13/11/20 10:09:52,14.325,
22,13/11/20 10:11:52,14.421,
23,13/11/20 10:13:52,14.421,
24,13/11/20 10:15:52,14.421,
25,13/11/20 10:17:52,14.421,
26,13/11/20 10:19:52,14.517,
27,13/11/20 10:21:52,14.421,
28,13/11/20 10:23:52,14.421,
29,13/11/20 10:25:52,14.517,
30,13/11/20 10:27:52,14.421,
31,13/11/20 10:29:52,14.421,
32,13/11/20 10:31:52,14.421,
33,13/11/20 10:33:52,14.325,
34,13/11/20 10:35:52,14.421,
35,13/11/20 10:37:52,14.517,
36,13/11/20 10:39:52,14.709,
37,13/11/20 10:41:52,14.709,
38,13/11/20 10:43:52,14.709,
39,13/11/20 10:45:52,14.613,
40,13/11/20 10:47:52,14.613,
41,13/11/20 10:49:52,14.613,
42,13/11/20 10:51:52,14.613,
43,13/11/20 10:53:52,14.709,
44,13/11/20 10:55:52,14.804,
45,13/11/20 10:57:52,14.900,
46,13/11/20 10:59:52,14.804,
47,13/11/20 11:01:52,14.900,
48,13/11/20 11:03:52,14.804,
49,13/11/20 11:05:52,14.804,
50,13/11/20 11:07:52,14.804,
51,13/11/20 11:09:52,14.804,
52,13/11/20 11:11:52,14.709,
53,13/11/20 11:13:52,14.804,
54,13/11/20 11:15:52,14.613,
55,13/11/20 11:17:52,14.517,
56,13/11/20 11:19:52,14.517,
57,13/11/20 11:21:52,14.613,
58,13/11/20 11:23:52,14.709,
59,13/11/20 11:25:52,14.804,
60,13/11/20 11:27:52,14.900,
61,13/11/20 11:29:52,14.900,
62,13/11/20 11:31:52,14.900,
63,13/11/20 11:33:52,14.996,
64,13/11/20 11:35:52,15.091,
65,13/11/20 11:37:52,15.091,
66,13/11/20 11:39:52,15.091,
67,13/11/20 11:41:52,15.187,
68,13/11/20 11:43:52,15.091,
69,13/11/20 11:45:52,15.091,
70,13/11/20 11:47:52,15.091,
71,13/11/20 11:49:52,14.996,
72,13/11/20 11:51:52,14.996,
73,13/11/20 11:53:52,14.996,
74,13/11/20 11:55:52,14.996,
75,13/11/20 11:57:52,14.996,
76,13/11/20 11:59:52,14.996,
77,13/11/20 12:01:52,14.996,
78,13/11/20 12:03:52,14.996,
79,13/11/20 12:05:52,14.996,
80,13/11/20 12:07:52,14.996,
81,13/11/20 12:09:52,14.900,
82,13/11/20 12:11:52,14.900,
83,13/11/20 12:13:52,14.900,
84,13/11/20 12:15:52,14.900,
85,13/11/20 12:17:52,14.804,
86,13/11/20 12:19:52,14.804,
87,13/11/20 12:21:52,14.804,
88,13/11/20 12:23:52,14.709,
89,13/11/20 12:25:52,14.709,
90,13/11/20 12:27:52,14.709,
91,13/11/20 12:29:52,14.709,
92,13/11/20 12:31:52,14.613,
93,13/11/20 12:33:52,14.613,
94,13/11/20 12:35:52,14.613,
95,13/11/20 12:37:52,14.709,
96,13/11/20 12:39:52,14.709,
97,13/11/20 12:41:52,14.804,
98,13/11/20 12:43:52,14.900,
99,13/11/20 12:45:52,14.900,
100,13/11/20 12:47:52,14.804,
101,13/11/20 12:49:52,14.900,
102,13/11/20 12:51:52,14.804,
103,13/11/20 12:53:52,14.804,
104,13/11/20 12:55:52,14.709,
105,13/11/20 12:57:52,14.613,
106,13/11/20 12:59:52,14.517,
107,13/11/20 13:01:52,14.517,
108,13/11/20 13:03:52,14.613,
109,13/11/20 13:05:52,14.613,
110,13/11/20 13:07:52,14.613,
111,13/11/20 13:09:52,14.517,
112,13/11/20 13:11:52,14.517,
113,13/11/20 13:13:52,14.421,
114,13/11/20 13:15:52,14.421,
115,13/11/20 13:17:52,14.517,
116,13/11/20 13:19:52,14.421,
117,13/11/20 13:21:52,14.517,
118,13/11/20 13:23:52,14.421,
119,13/11/20 13:25:52,14.325,
120,13/11/20 13:27:52,14.325,
121,13/11/20 13:29:52,14.230,
122,13/11/20 13:31:52,14.230,
123,13/11/20 13:33:52,14.230,
124,13/11/20 13:35:52,14.134,
125,13/11/20 13:37:52,14.134,
126,13/11/20 13:39:52,14.230,
127,13/11/20 13:41:52,14.325,
128,13/11/20 13:43:52,14.325,
129,13/11/20 13:45:52,14.325,
130,13/11/20 13:47:52,14.421,
131,13/11/20 13:49:52,14.517,
132,13/11/20 13:51:52,14.325,
133,13/11/20 13:53:52,14.421,
134,13/11/20 13:55:52,14.421,
135,13/11/20 13:57:52,14.613,
136,13/11/20 13:59:52,14.613,
137,13/11/20 14:01:52,14.709,
138,13/11/20 14:03:52,14.709,
139,13/11/20 14:05:52,14.804,
140,13/11/20 14:07:52,14.804,
141,13/11/20 14:09:52,14.804,
142,13/11/20 14:11:52,14.709,
143,13/11/20 14:13:52,14.709,
144,13/11/20 14:15:52,14.709,
145,13/11/20 14:17:52,14.709,
146,13/11/20 14:19:52,14.613,
147,13/11/20 14:21:52,14.613,
148,13/11/20 14:23:52,14.517,
149,13/11/20 14:25:52,14.421,
150,13/11/20 14:27:52,14.325,
151,13/11/20 14:29:52,14.325,
152,13/11/20 14:31:52,14.421,
153,13/11/20 14:33:52,14.421,
154,13/11/20 14:35:52,14.421,
155,13/11/20 14:37:52,14.325,
156,13/11/20 14:39:52,14.421,
157,13/11/20 14:41:52,14.517,
158,13/11/20 14:43:52,14.517,
159,13/11/20 14:45:52,14.421,
160,13/11/20 14:47:52,14.325,
161,13/11/20 14:49:52,14.230,
162,13/11/20 14:51:52,14.325,
163,13/11/20 14:53:52,14.230,
164,13/11/20 14:55:52,14.134,
165,13/11/20 14:57:52,14.230,
166,13/11/20 14:59:52,14.230,
167,13/11/20 15:01:52,14.230,
168,13/11/20 15:03:52,14.325,
169,13/11/20 15:05:52,14.230,
170,13/11/20 15:07:52,14.325,
171,13/11/20 15:09:52,14.325,
172,13/11/20 15:11:52,14.421,
173,13/11/20 15:13:52,14.421,
174,13/11/20 15:15:52,14.325,
175,13/11/20 15:17:52,14.325,
176,13/11/20 15:19:52,14.421,
177,13/11/20 15:21:52,14.421,
178,13/11/20 15:23:52,14.517,
179,13/11/20 15:25:52,14.613,
180,13/11/20 15:27:52,14.613,
181,13/11/20 15:29:52,14.709,
182,13/11/20 15:31:52,14.709,
183,13/11/20 15:33:52,14.709,
184,13/11/20 15:35:52,14.613,
185,13/11/20 15:37:52,14.517,
186,13/11/20 15:39:52,14.517,
187,13/11/20 15:41:52,14.517,
188,13/11/20 15:43:52,14.517,
189,13/11/20 15:45:52,14.421,
190,13/11/20 15:47:52,14.517,
191,13/11/20 15:49:52,14.421,
192,13/11/20 15:51:52,14.421,
193,13/11/20 15:53:52,14.421,
194,13/11/20 15:55:52,14.325,
195,13/11/20 15:57:52,14.421,
196,13/11/20 15:59:52,14.517,
197,13/11/20 16:01:52,14.613,
198,13/11/20 16:03:52,14.804,
199,13/11/20 16:05:52,14.900,
200,13/11/20 16:07:52,14.900,
201,13/11/20 16:09:52,14.900,
202,13/11/20 16:11:52,14.804,
203,13/11/20 16:13:52,14.900,
204,13/11/20 16:15:52,14.804,
205,13/11/20 16:17:52,14.804,
206,13/11/20 16:19:52,14.709,
207,13/11/20 16:21:52,14.613,
208,13/11/20 16:23:52,14.517,
209,13/11/20 16:25:52,14.421,
210,13/11/20 16:27:52,14.421,
211,13/11/20 16:29:52,14.325,
212,13/11/20 16:31:52,14.421,
213,13/11/20 16:33:52,14.325,
214,13/11/20 16:35:52,14.325,
215,13/11/20 16:37:52,14.230,
216,13/11/20 16:39:52,14.325,
217,13/11/20 16:41:52,14.134,
218,13/11/20 16:43:52,14.134,
219,13/11/20 16:45:52,14.038,
220,13/11/20 16:47:52,14.134,
221,13/11/20 16:49:52,14.325,
222,13/11/20 16:51:52,14.230,
223,13/11/20 16:53:52,14.230,
224,13/11/20 16:55:52,14.230,
225,13/11/20 16:57:52,14.325,
226,13/11/20 16:59:52,14.421,
227,13/11/20 17:01:52,14.517,
228,13/11/20 17:03:52,14.421,
229,13/11/20 17:05:52,14.325,
230,13/11/20 17:07:52,14.325,
231,13/11/20 17:09:52,14.325,
232,13/11/20 17:11:52,14.230,
233,13/11/20 17:13:52,14.230,
234,13/11/20 17:15:52,14.230,
235,13/11/20 17:17:52,14.230,
236,13/11/20 17:19:52,14.134,
237,13/11/20 17:21:52,14.134,
238,13/11/20 17:23:52,14.038,
239,13/11/20 17:25:52,14.134,
240,13/11/20 17:27:52,14.230,
241,13/11/20 17:29:52,14.230,
242,13/11/20 17:31:52,14.325,
243,13/11/20 17:33:52,14.421,
244,13/11/20 17:35:52,14.325,
245,13/11/20 17:37:52,14.421,
246,13/11/20 17:39:52,14.421,
247,13/11/20 17:41:52,14.421,
248,13/11/20 17:43:52,14.325,
249,13/11/20 17:45:52,14.325,
250,13/11/20 17:47:52,14.230,
251,13/11/20 17:49:52,14.230,
252,13/11/20 17:51:52,14.325,
253,13/11/20 17:53:52,14.325,
254,13/11/20 17:55:52,14.325,
255,13/11/20 17:57:52,14.421,
256,13/11/20 17:59:52,14.325,
257,13/11/20 18:01:52,14.325,
258,13/11/20 18:03:52,14.134,
259,13/11/20 18:05:52,14.134,
260,13/11/20 18:07:52,14.134,
261,13/11/20 18:09:52,14.134,
262,13/11/20 18:11:52,14.134,
263,13/11/20 18:13:52,14.134,
264,13/11/20 18:15:52,14.230,
265,13/11/20 18:17:52,14.230,
266,13/11/20 18:19:52,14.421,
267,13/11/20 18:21:52,14.421,
268,13/11/20 18:23:52,14.325,
269,13/11/20 18:25:52,14.325,
270,13/11/20 18:27:52,14.325,
271,13/11/20 18:29:52,14.325,
272,13/11/20 18:31:52,14.421,
273,13/11/20 18:33:52,14.325,
274,13/11/20 18:35:52,14.325,
275,13/11/20 18:37:52,14.230,
276,13/11/20 18:39:52,14.230,
277,13/11/20 18:41:52,14.230,
278,13/11/20 18:43:52,14.230,
279,13/11/20 18:45:52,14.134,
280,13/11/20 18:47:52,14.134,
281,13/11/20 18:49:52,14.134,
282,13/11/20 18:51:52,14.038,
283,13/11/20 18:53:52,14.038,
284,13/11/20 18:55:52,14.038,
285,13/11/20 18:57:52,14.134,
286,13/11/20 18:59:52,14.230,
287,13/11/20 19:01:52,14.230,
288,13/11/20 19:03:52,14.230,
289,13/11/20 19:05:52,14.134,
290,13/11/20 19:07:52,14.134,
291,13/11/20 19:09:52,14.038,
292,13/11/20 19:11:52,14.038,
293,13/11/20 19:13:52,14.038,
294,13/11/20 19:15:52,13.942,
295,13/11/20 19:17:52,13.942,
296,13/11/20 19:19:52,13.846,
297,13/11/20 19:21:52,13.846,
298,13/11/20 19:23:52,14.038,
299,13/11/20 19:25:52,14.038,
300,13/11/20 19:27:52,14.038,
301,13/11/20 19:29:52,13.942,
302,13/11/20 19:31:52,14.038,
303,13/11/20 19:33:52,14.038,
304,13/11/20 19:35:52,14.038,
305,13/11/20 19:37:52,13.942,
306,13/11/20 19:39:52,13.942,
307,13/11/20 19:41:52,13.942,
308,13/11/20 19:43:52,13.942,
309,13/11/20 19:45:52,13.846,
310,13/11/20 19:47:52,13.846,
